,stu_id,com_id,category_id,name,description,rule,main_img,port_img,cad_img,floor,tag_id,tag_name,new_tag1,new_tag2,extend_tag,extend_tag_sim
0,10,11@sample.com,1,엔코아스튜디오1,"바르셀로나 보케리아 시장과 까사바트요가 가까운 스튜디오. 안녕하세요, 저희 스튜디오를 찾아주셔서 감사합니다.","음식물 반입 금지, 퇴실 시 구비된 물품 손상 점검 있습니다.",0_0_must_be.jpg,barcel_4.jpg,NaN,3.0,"[1, 2, 3, 32]","['모던', '블랙앤화이트', '시크', '이태원']","['스튜디오', '사바트', '화이트', '이태원', '저희', '요가', '바르셀로나', '보케', '시크', '시장', '모던', '블랙', '리아']","['화이트', '이태원', '시크', '모던', '블랙']",[],[]
1,11,1234@admin.com,2,카페로제,"낭만적인 카페. 로코코 풍의 카페, 식당 인테리어. 18~19세기 유럽 느낌을 냅니다. 서울시 서초구. 최대 7인. 조명, 반사판 제공합니다. 포토그래퍼 문의는 연락주세요.",음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,1.0,"[4, 5, 6]","['플라워카페', '러블리', '우드']","['인테리어', '서울시', '식당', '느낌', '세기', '연락', '러블리', '플라워', '서초구', '그래퍼', '최대', '조명', '유럽', '문의', '우드', '포토', '반사', '카페', '제공', '로코코', '낭만']","['플라워', '카페', '우드', '러블리']","['지향', '라운지', '모든', '클래식', '내부', '대여', '드라마', '힙스터', '양쪽', '인테리어', '설명', '모습']","[0.21112783253192902, 0.19793426990509033, 0.1795913279056549, 0.17329692840576172, 0.24116870760917664, 0.23262043297290802, 0.20357073843479156, 0.19956253468990326, 0.13952356576919556, 0.1335946023464203, 0.13359099626541138, 0.13223710656166077]"
2,12,1234@admin.com,4,팩토리 바다,타이트한 샷 찍기 좋아요,n인 이상 진입금지,0_0_must_be.jpg,NaN,NaN,17.0,"[7, 8, 9]","['모던', '힙스터', '클로즈샷']","['클로즈', '찍기', '힙스터', '모던', '타이트']","['찍기', '타이트']","['관람', '최상', '골드', '근처']","[0.1981501281261444, 0.17206920683383942, 0.13719330728054047, 0.13200010359287262]"
3,13,1234@admin.com,9,바다바다,자유로운 장소,아무 방이나 열지 마세요,0_0_must_be.jpg,NaN,NaN,1.0,"[10, 11, 12]","['유니크', '오션뷰', '통창']","['통창', '오션', '장소', '유니크']",['장소'],"['옥상', '이용', '옥탑', '정수기']","[0.1663130819797516, 0.15959981083869934, 0.15554606914520264, 0.15344800055027008]"
4,14,33@sample.com,3,나무주택,빛이 잘 드는 조용한 주택,식기류 조심히 다뤄주세요,0_0_must_be.jpg,NaN,NaN,2.0,"[13, 14, 15]","['나무집', '따듯함', '아늑함']","['주택', '나무']",['주택'],"['사용', '인테리어', '문화', '조명']","[0.2562573254108429, 0.19903641939163208, 0.19493168592453003, 0.1763000190258026]"
5,15,33@sample.com,5,목란정,중식풍 식당,19시 이후만 대여 가능,0_0_must_be.jpg,NaN,NaN,3.0,"[16, 17, 18]","['중국풍', '촬영지', '상해']","['촬영', '상해', '식당', '중국', '중식']","['중식', '식당']","['전통', '보유', '안내', '단독']","[0.15247632563114166, 0.12618166208267212, 0.1245998740196228, 0.12374846637248993]"
6,16,33@sample.com,6,이태원_루프탑,이태원에 위치한 뷰가 좋은 루프탑입니다.,평일만 대여 가능합니다.,0_0_must_be.jpg,NaN,NaN,1.0,"[19, 20, 21]","['아늑함', '우드', '코지']","['이태원', '코지', '우드', '위치', '루프']","['위치', '루프', '이태원']","['촬영', '각종', '사용', '주변', '화이트', '주말', '노래', '주차장', '연출', '마다', '미러', '유지']","[0.26670020818710327, 0.2608467936515808, 0.26025068759918213, 0.25362226366996765, 0.184620663523674, 0.1746947169303894, 0.17460906505584717, 0.17388737201690674, 0.1617252677679062, 0.13475030660629272, 0.132152259349823, 0.12657730281352997]"
7,17,44@sample.com,8,학교,강원도 태백 폐교,취사 금지,0_0_must_be.jpg,NaN,NaN,2.0,"[22, 23, 24]","['미술갤러리', '힙스터', '첨단지구']","['강원도', '태백', '미술', '첨단', '지구', '갤러리', '힙스터', '폐교']","['미술', '첨단', '지구', '갤러리', '힙스터']",[],[]
8,18,44@sample.com,7,나잇나잇,광주 핫한 펍,음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,7.0,"[25, 26, 27, 31]","['루프탑', '야경', '분위기', '이태원']","['분위기', '이태원', '야경', '루프', '광주']","['분위기', '루프', '이태원', '야경']","['또한', '작업', '난방', '공사', '화이트', '주말', '노래', '주차장', '연출', '마다', '미러', '유지', '관련', '세팅', '모던', '클래식']","[0.19909529387950897, 0.1813272386789322, 0.1619897186756134, 0.16146418452262878, 0.184620663523674, 0.1746947169303894, 0.17460906505584717, 0.17388737201690674, 0.1617252677679062, 0.13475030660629272, 0.132152259349823, 0.12657730281352997, 0.2190501093864441, 0.1817590892314911, 0.17711587250232697, 0.1734740138053894]"
9,19,55@sample.com,2,카페 광활,바다가 보이는 부산 카페,음식물 반입 금지,0_0_must_be.jpg,NaN,NaN,2.0,"[28, 29, 30]","['오션뷰', '통창', '햇살맛집']","['부산', '통창', '카페', '햇살', '맛집', '오션', '바다']","['맛집', '통창', '햇살', '오션']","['지면', '위치', '무관', '빌라', '용인', '그림', '저희', '경험', '한양대', '호텔', '특색', '건반', '사람', '디자인', '아주', '프로젝터']","[0.1797468066215515, 0.17066264152526855, 0.17064794898033142, 0.1559755802154541, 0.178696870803833, 0.16988565027713776, 0.16565439105033875, 0.16258426010608673, 0.15171030163764954, 0.13482654094696045, 0.13243252038955688, 0.12693610787391663, 0.1532956063747406, 0.14927150309085846, 0.1466943323612213, 0.14503447711467743]"
