NO,...1,studio_name,studio_picture,imafe_file,category,region,tag,price,area,floor,default_person,parking,description,rule
1,59,강남역 럭셔리 하우스,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/9dc1fd21-e4be-3e17-b216-ab9f7d258353.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/88c29f24-72a5-372a-9296-36f82a087c2a.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/7eaffe5f-0763-3397-bcd0-d406f58ba9ec.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/f7b6731b-bd82-3f6b-8a92-7e505cebd576.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/ac2b3828-9d0a-387b-a6ac-36b89982de2a.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/bd31f1bf-dc8b-3c4a-8cc8-cd824e61d2ba.jpg']","['59_0_강남역_럭셔리_하우스.jpg', '59_1_강남역_럭셔리_하우스.jpg', '59_2_강남역_럭셔리_하우스.jpg', '59_3_강남역_럭셔리_하우스.jpg', '59_4_강남역_럭셔리_하우스.jpg', '59_5_강남역_럭셔리_하우스.jpg']",원룸,서울,"['# 강남렌탈스튜디오', '# 원룸']","62,000",40,14,20,0,"<U+2013> 강남역 바로 옆에 위치한 모던 하우스
<U+2013> 사전 예약 시 시간 조율 가능","<U+2013> 강남역 바로 옆에 위치한 모던 하우스
<U+2013> 사전 예약 시 시간 조율 가능"
2,16,"LTR Room-2(city view,wangsimni1min)","['https://s3.hourplace.co.kr/image/user/6474/2020/04/20/7f2cf046-a2c9-383a-8a5e-5d3ec2db6443.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/6ec8e322-e35c-3f05-b785-b265b095fe5f.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/68101041-3dac-3368-a034-86f1fe48c468.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/1851563a-9451-3bad-a3c1-edad1f269837.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/bb1369ca-e06c-3b9e-90d0-474fb0f3a398.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/decd6b7b-2735-3c4c-85dc-da22ee9381c9.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/9b62238b-dedd-3ff1-a13d-0f3ab969b89c.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/dab0ca0b-5d94-33a8-ab74-d93c71316429.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/f7a44c47-35b9-3f49-8347-895ce1ccaacd.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/aaa7cee1-f91c-3ba0-b9bf-b741a364e530.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/a42a72da-0eca-33ea-b73b-7386d6a1fee9.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/8aeb0acf-83c3-346b-82c0-74aa8668293b.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/84ddc74d-a8e3-3f50-886e-f2975c1546f9.jpg', 'https://s3.hourplace.co.kr/image/user/6474/2020/04/20/345fb619-88b9-33bc-a62d-9644032b4a13.jpg']","['16_0_LTR_Room-2(city_view,wangsimni1min).jpg', '16_1_LTR_Room-2(city_view,wangsimni1min).jpg', '16_2_LTR_Room-2(city_view,wangsimni1min).jpg', '16_3_LTR_Room-2(city_view,wangsimni1min).jpg', '16_4_LTR_Room-2(city_view,wangsimni1min).jpg', '16_5_LTR_Room-2(city_view,wangsimni1min).jpg', '16_6_LTR_Room-2(city_view,wangsimni1min).jpg', '16_7_LTR_Room-2(city_view,wangsimni1min).jpg', '16_8_LTR_Room-2(city_view,wangsimni1min).jpg', '16_9_LTR_Room-2(city_view,wangsimni1min).jpg', '16_10_LTR_Room-2(city_view,wangsimni1min).jpg', '16_11_LTR_Room-2(city_view,wangsimni1min).jpg', '16_12_LTR_Room-2(city_view,wangsimni1min).jpg', '16_13_LTR_Room-2(city_view,wangsimni1min).jpg']",원룸,서울,"['# 왕십리', '# 성동구', '# 원룸인테리어', '# 햇살이이쁜집', '# 역세권']","15,000",26,11,4,0,"<U+2022> 11층 CiTy View
<U+2022> 왕십리역에서 1분 거리
<U+2022> 저렴한 가격
<U+2022> 샤워시설 포함
<U+2022> 주방 포함","<U+2022> 11층 CiTy View
<U+2022> 왕십리역에서 1분 거리
<U+2022> 저렴한 가격
<U+2022> 샤워시설 포함
<U+2022> 주방 포함"
3,27,한강에서 5분거리 스튜디오 같은 암사동 아파트,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/06e1af77-297d-3370-a999-ffc90807f187.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/4f87880d-0ee9-3cd0-ba09-cad171ec54a3.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/f0ea579e-15c3-3fe3-88c0-182926047420.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/49504824-2aa9-32a7-b70e-e21db5f21fbf.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/0d549c09-5b7e-3b2d-8bda-ce32a7c3f4ef.jpg']","['27_0_한강에서_5분거리_스튜디오_같은_암사동_아파트.jpg', '27_1_한강에서_5분거리_스튜디오_같은_암사동_아파트.jpg', '27_2_한강에서_5분거리_스튜디오_같은_암사동_아파트.jpg', '27_3_한강에서_5분거리_스튜디오_같은_암사동_아파트.jpg', '27_4_한강에서_5분거리_스튜디오_같은_암사동_아파트.jpg']",아파트,서울,"['# 모던인테리어', '# 스튜디오', '# 한강']","62,000",76,5,5,5,"<U+2022> 잠실에서 15분내, 아파트에서 5분내로 한강공원 있습니다.
<U+2022> 최근 인테리어 공사를하여 벽은 페인트 off white 컬러, 조명은 호텔식 노란불로 스튜디오 같은 촬영이 가능합니다.
<U+2022> 가구는 없으며 거실엔 식탁있습니다.
<U+2022> 월-금 (주말X) 최소 2시간부터 사용가능합니다.","<U+2022> 잠실에서 15분내, 아파트에서 5분내로 한강공원 있습니다.
<U+2022> 최근 인테리어 공사를하여 벽은 페인트 off white 컬러, 조명은 호텔식 노란불로 스튜디오 같은 촬영이 가능합니다.
<U+2022> 가구는 없으며 거실엔 식탁있습니다.
<U+2022> 월-금 (주말X) 최소 2시간부터 사용가능합니다."
4,380,강남역 모던 하우스,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/fe63af18-ff67-3c1c-b716-a987be170a62.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/a8b981f0-157a-3502-834c-6144d45f99d0.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/2d8887d1-4f8f-3472-9d45-ed8ccd706a9e.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/c114e0ed-ebe2-3b8a-a4ae-c2d0f6b25244.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/53abe98d-34c6-3e35-9cb0-0fc59f55df1d.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/03bd04f0-2e1c-3740-9ab8-e4e67c1ba112.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/bb7796bf-77e2-3f31-a689-e30831d51576.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/9be73938-a610-35c8-a1bd-2c71d624c916.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/29ae2489-09a1-3cec-a39d-888ad5ebb746.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/36e510fb-213e-36c6-b965-20d73e05c7e0.jpg']","['380_0_강남역_모던_하우스.jpg', '380_1_강남역_모던_하우스.jpg', '380_2_강남역_모던_하우스.jpg', '380_3_강남역_모던_하우스.jpg', '380_4_강남역_모던_하우스.jpg', '380_5_강남역_모던_하우스.jpg', '380_6_강남역_모던_하우스.jpg', '380_7_강남역_모던_하우스.jpg', '380_8_강남역_모던_하우스.jpg', '380_9_강남역_모던_하우스.jpg']",아파트,서울,"['# 강남렌탈스튜디오', '# 나혼자산다', '# 원룸']","62,000",40,11,25,0,"- 강남역 바로 옆에 위치한 모던 하우스
- 사전 예약 시 시간 조율 가능","- 강남역 바로 옆에 위치한 모던 하우스
- 사전 예약 시 시간 조율 가능"
5,20,춘천 앤틱럭셔리 46평 아파트,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/1b8c92c5-a178-3088-8d18-37a4e4cf3ce1.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/0bc814c6-812e-3911-a1c5-41cda88d1190.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/918e514d-bc2c-33e2-a79f-fdfe89848bfe.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/000d3680-caa1-31a4-abf7-1c71ac93a2f9.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/c87a6585-3d53-3867-ab43-ea605fedc41e.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/7d3e16f0-7c89-3dda-a047-a5d048c94605.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/4a17ab62-7198-3de0-b50e-3be3251fca6b.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/9528d2b8-ebd8-3054-a5dc-640499f602d4.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/b307ee6e-66fc-34e3-96f2-45407d7c7889.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/0e8ffc10-6a7e-3742-afbd-b270716c2ff1.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/c7a788d4-1f2d-3647-8421-8e3abfaac776.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/5cb6bbfc-a15e-3621-ac90-d8766764c3ec.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/9b36e0b4-82fb-382a-8b9e-642c77700ead.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/ee3a74af-0c9c-3f08-a353-0e2154a3c4d6.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/e2c72e62-13d4-31bb-8841-ab1fe8d2ffc1.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/1b4c628f-f854-35f5-bb22-1f42c65e59c9.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/0ce8ec06-f3aa-3457-89f8-a13a0b3a5872.jpg']","['20_0_춘천_앤틱럭셔리_46평_아파트.jpg', '20_1_춘천_앤틱럭셔리_46평_아파트.jpg', '20_2_춘천_앤틱럭셔리_46평_아파트.jpg', '20_3_춘천_앤틱럭셔리_46평_아파트.jpg', '20_4_춘천_앤틱럭셔리_46평_아파트.jpg', '20_5_춘천_앤틱럭셔리_46평_아파트.jpg', '20_6_춘천_앤틱럭셔리_46평_아파트.jpg', '20_7_춘천_앤틱럭셔리_46평_아파트.jpg', '20_8_춘천_앤틱럭셔리_46평_아파트.jpg', '20_9_춘천_앤틱럭셔리_46평_아파트.jpg', '20_10_춘천_앤틱럭셔리_46평_아파트.jpg', '20_11_춘천_앤틱럭셔리_46평_아파트.jpg', '20_12_춘천_앤틱럭셔리_46평_아파트.jpg', '20_13_춘천_앤틱럭셔리_46평_아파트.jpg', '20_14_춘천_앤틱럭셔리_46평_아파트.jpg', '20_15_춘천_앤틱럭셔리_46평_아파트.jpg', '20_16_춘천_앤틱럭셔리_46평_아파트.jpg']",아파트,강원,"['# 럭셔리', '# 앤티크', '# 앤틱', '# 춘천']","38,000",152,7,10,10,"- 앤틱 가구와 이국적인 소품으로 꾸며진 46평 2인 부부 사는 가정집
- 지하 1-2 층 주차장공간 넓어 주차하기 편리
- 평일 선호하나 주말도 가능
- 공간이 넓어 촬영하기 편리
- 올려진 방 사진 외에 서재방, 침실 등 총 4개 방 모두 촬영 가능","- 앤틱 가구와 이국적인 소품으로 꾸며진 46평 2인 부부 사는 가정집
- 지하 1-2 층 주차장공간 넓어 주차하기 편리
- 평일 선호하나 주말도 가능
- 공간이 넓어 촬영하기 편리
- 올려진 방 사진 외에 서재방, 침실 등 총 4개 방 모두 촬영 가능"
6,49,논현동 다용도 스페이스,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/75e13416-a7f2-3a72-81fa-d40c1d272dd3.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/b18d9d82-5361-3c22-947e-50fcc7730074.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/de3942ed-5821-3fa1-bccb-7a639f026521.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/9952cb74-6729-3c58-b9ca-b90c6b878af7.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/8d4eb32a-3db7-3b48-a9db-ef80143bfda8.jpg']","['49_0_논현동_다용도_스페이스.jpg', '49_1_논현동_다용도_스페이스.jpg', '49_2_논현동_다용도_스페이스.jpg', '49_3_논현동_다용도_스페이스.jpg', '49_4_논현동_다용도_스페이스.jpg']",사무실,서울,"['# 사무실', '# 상담실', '# 오피스', '# 임원실', '# 회의실']","87,000",66,B1,12,2,"- 학동역에서 도보 5분 거리인 건물의 지하 사무실입니다
- 사용가능 면적은 사진에서 보이는 사무실 2개의 방과 공용 공간입니다
- 사용가능한 시간은 월-토 9am-6pm 입니다
- 주차 가능합니다","- 학동역에서 도보 5분 거리인 건물의 지하 사무실입니다
- 사용가능 면적은 사진에서 보이는 사무실 2개의 방과 공용 공간입니다
- 사용가능한 시간은 월-토 9am-6pm 입니다
- 주차 가능합니다"
7,26,[가평] 청리움 (淸rium),"['https://s3.hourplace.co.kr/image/user/8131/2020/07/29/c99c84e6-8790-3302-8df7-1c59910a0d67.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/7ed3c8b9-a39b-37a1-a602-0f9266f88163.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/42dba2f5-4c2d-353b-8810-bcd46610337a.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/8a538a73-7a1a-35dd-9b8a-7efad2f85c08.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/e61e0b2e-245f-3d5f-bec8-e0be57e59c4c.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/5cf9662d-bcd7-3859-99f7-cef9aac8f2cc.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/ec31e30f-215a-3afe-a63f-afcd0ee24921.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/ad39a112-5a32-30be-aa57-255d0a9c4909.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/fbb2f576-a6b9-32df-b5ec-0d5776d25757.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/ae6b29c9-09e8-378a-8330-2e88fbdbf84a.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/aab1264f-a720-336d-b159-45b69d1255de.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/ba82cf0d-0f81-3700-a287-84d300ea1fa9.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/c07837d1-b3e8-3692-ade8-5f2c3dfc3a6f.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/31ff20ee-361b-3b72-99ae-aa8125755efb.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/53221add-af34-39a9-86e4-74b9e4f6d2b5.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/d4624e37-7c3a-3867-811e-95e79db90f21.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/4b3c1a3a-1985-3311-87b6-4c78f29cdaf3.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/68cda029-5727-31bf-b0af-73b196e2c613.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/3ef381f2-1fdc-3cf5-b1ab-75c4ec15d8c4.jpg', 'https://s3.hourplace.co.kr/image/user/8131/2020/07/29/4390ff39-c6fc-3ae7-ade0-8054cc933850.jpg']","['26_0_[가평]_청리움_(淸rium).jpg', '26_1_[가평]_청리움_(淸rium).jpg', '26_2_[가평]_청리움_(淸rium).jpg', '26_3_[가평]_청리움_(淸rium).jpg', '26_4_[가평]_청리움_(淸rium).jpg', '26_5_[가평]_청리움_(淸rium).jpg', '26_6_[가평]_청리움_(淸rium).jpg', '26_7_[가평]_청리움_(淸rium).jpg', '26_8_[가평]_청리움_(淸rium).jpg', '26_9_[가평]_청리움_(淸rium).jpg', '26_10_[가평]_청리움_(淸rium).jpg', '26_11_[가평]_청리움_(淸rium).jpg', '26_12_[가평]_청리움_(淸rium).jpg', '26_13_[가평]_청리움_(淸rium).jpg', '26_14_[가평]_청리움_(淸rium).jpg', '26_15_[가평]_청리움_(淸rium).jpg', '26_16_[가평]_청리움_(淸rium).jpg', '26_17_[가평]_청리움_(淸rium).jpg', '26_18_[가평]_청리움_(淸rium).jpg', '26_19_[가평]_청리움_(淸rium).jpg']",그 외 장소,경기,"['# 청리움', '# 한컴그룹연수원', '# 가평갈만한곳', '# 연수원추천장소', '# 가평연수원', '# 가평명소', '# 한글과컴퓨터', '# 연수원', '# 한컴그룹', '# 한컴아카데미']","174,000",1848000,3,50,20,(주)한컴그룹이 20년 초 오픈한 연수원입니다.,(주)한컴그룹이 20년 초 오픈한 연수원입니다.
8,17,차분한 서재 분위기 아현동 45평,"['https://s3.hourplace.co.kr/temp/images/2019/05/13/99eb1d43-20ba-3f14-9762-d73ce4d882e9.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/fd88e262-8f0b-37e2-85f3-2565e581aaf5.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/3f2cbea2-1189-3951-b6ca-8c06e7cc0c55.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/526d79f9-f7d4-3571-9985-1aeb7d732d06.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/f28dc87e-9f69-3d30-9e62-8a6990428a44.jpg']","['17_0_차분한_서재_분위기_아현동_45평.jpg', '17_1_차분한_서재_분위기_아현동_45평.jpg', '17_2_차분한_서재_분위기_아현동_45평.jpg', '17_3_차분한_서재_분위기_아현동_45평.jpg', '17_4_차분한_서재_분위기_아현동_45평.jpg']",아파트,서울,"['# 고가구', '# 넓은 거실', '# 앤틱가구', '# 서재', '# 담소장소', '# 빈티지', '# 5060', '# 어르신집', '# 중후한분위기', '# 클래식']","50,000",149,18,10,5,".위 치: 서울 마포구 아현동 소재 신축아파트 45평형 거실 및 주방입니다.

.분 위 기: 원목과 고가구 위주의 인테리어로 차분하고 편안한 분위기 입니다.

.수용인원: 중앙의 5인 소파와 한켠의 6인용 테이블에 10인 정도 이용가능합니다.

.교 통 편: 지하철 5호선 1분, 2호선 5분, 도보로 이용가능합니다.

.주 차 장: 지하주차장에 여유롭게 이용가능 합니다.",".위 치: 서울 마포구 아현동 소재 신축아파트 45평형 거실 및 주방입니다.

.분 위 기: 원목과 고가구 위주의 인테리어로 차분하고 편안한 분위기 입니다.

.수용인원: 중앙의 5인 소파와 한켠의 6인용 테이블에 10인 정도 이용가능합니다.

.교 통 편: 지하철 5호선 1분, 2호선 5분, 도보로 이용가능합니다.

.주 차 장: 지하주차장에 여유롭게 이용가능 합니다."
9,281,"동대문구 답십리동,작지만 자연친화적인 루프탑이 있는 아담ㆍ따뜻ㆍ정갈한 주택","['https://s3.hourplace.co.kr/temp/images/2019/05/13/7995dc2d-329a-3dad-a063-2ab2933e3f16.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/62f9d1d9-ca3b-3d34-a783-1a908d7c2972.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/ff4f92e7-7fda-33a6-8deb-cf497d2d6559.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/d211761b-b779-362a-af14-494026d5dc41.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/05/13/1706077c-b45b-375f-a50b-1d746f7bb709.jpg']","['281_0_동대문구_답십리동,작지만_자연친화적인_루프탑이_있는_아담ㆍ따뜻ㆍ정갈한_주택.jpg', '281_1_동대문구_답십리동,작지만_자연친화적인_루프탑이_있는_아담ㆍ따뜻ㆍ정갈한_주택.jpg', '281_2_동대문구_답십리동,작지만_자연친화적인_루프탑이_있는_아담ㆍ따뜻ㆍ정갈한_주택.jpg', '281_3_동대문구_답십리동,작지만_자연친화적인_루프탑이_있는_아담ㆍ따뜻ㆍ정갈한_주택.jpg', '281_4_동대문구_답십리동,작지만_자연친화적인_루프탑이_있는_아담ㆍ따뜻ㆍ정갈한_주택.jpg']",주택,서울,"['# 영화', '# 재연드라마', '# CF촬영장소', '# 광고', '# 단독주택', '# 단편영화', '# 드라마', '# 루프탑', '# 뮤직비디오', '# 소규모 광고']","50,000",254,2,5,1,"[답십리역,신답역 인근]간데메 공원 근처 조용한 주택가에 자리한 구옥 2층입니다.
5.7평의 작은 투룸(?분리형원룸?)과 이보다 좀더 넓은 루프탑이 있습니다.
일반적인 작은 평형대 원룸ㆍ투룸과는 구조가 다르고 ㄱ자 모양의 발코니가 있는 것이 촬영장소로서의 강점으로 작용할지도 모르겠습니다.
물론 비전문가의 개인적 소견입니다.

바로 앞에 -동대문구 유일한- 공원이 있으며 도보 5분 거리에 청계천,청계천생태학교가 있습니다.","[답십리역,신답역 인근]간데메 공원 근처 조용한 주택가에 자리한 구옥 2층입니다.
5.7평의 작은 투룸(?분리형원룸?)과 이보다 좀더 넓은 루프탑이 있습니다.
일반적인 작은 평형대 원룸ㆍ투룸과는 구조가 다르고 ㄱ자 모양의 발코니가 있는 것이 촬영장소로서의 강점으로 작용할지도 모르겠습니다.
물론 비전문가의 개인적 소견입니다.

바로 앞에 -동대문구 유일한- 공원이 있으며 도보 5분 거리에 청계천,청계천생태학교가 있습니다."
10,40,1990년 인테리어 벽난로 다락방 120평초대형빌라 한남동근처,"['https://s3.hourplace.co.kr/temp/images/2019/12/11/5a57e0bb-356c-3394-bfa1-b8bff99ee8e6.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/f61a0718-59f9-3dd8-9b18-c42dd7e176fb.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/45006ca8-2623-3bea-962e-b0df623d7a13.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/a783e17d-1986-3e3b-862a-6bc2d82704d6.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/5f007fa7-9871-33af-996e-a58eabe5af61.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/4db74060-d15e-3c4a-b7da-8fb58233d867.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/0ee21523-0db9-38f2-abb3-f18d233dd9d8.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/bea7b472-5080-3d00-b9c1-2c0d94ccc6ed.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/3f5e289f-f167-367c-a30e-bba1ffd41a56.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/be87837e-3d6d-339b-a30d-d8292e10828a.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/5939f9d0-356b-3932-aaaa-021388a2f328.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/c0355423-96f5-3a3c-b660-22c0a41ee937.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/9c6083b3-af8d-37db-8fc3-b6160e8729ba.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/d32ea1af-5b58-3bab-b6af-7c00cc786037.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/863b0ca4-b75c-3216-a09d-011fe7e90029.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/a9aca935-5497-38ea-bc3f-fbe5e6b1985b.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/324470e7-3221-3411-b44a-84bc00fc209d.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/4a324938-b37b-3644-b18d-93e32c01e0d3.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/821c71ca-2232-322b-9fdb-beff4ee970a7.jpg', 'https://s3.hourplace.co.kr/temp/images/2019/12/11/197631ee-cf53-32f4-9c04-b27975ab62a5.jpg']","['40_0_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_1_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_2_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_3_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_4_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_5_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_6_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_7_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_8_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_9_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_10_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_11_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_12_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_13_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_14_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_15_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_16_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_17_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_18_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg', '40_19_1990년_인테리어_벽난로_다락방_120평초대형빌라_한남동근처.jpg']",빌라,서울,"['# 90년대 인테리어', '# 복층', '# 다락방', '# 벽난로', '# 산장분위기', '# 120평 초대형빌라', '# 한남동', '# 옥수동', '# 한강씨티뷰']","23,000",396,3,4,1,"1층 80평 + 2층다락방 40평입니다
서울 옥수동 입니다
가구 소품 옮길수 있습니다
촬영경험 많이 있습니다","1층 80평 + 2층다락방 40평입니다
서울 옥수동 입니다
가구 소품 옮길수 있습니다
촬영경험 많이 있습니다"
